,Date,Close/Last,Volume,Open,High,Low
394,2020-07-08,95.3425,117091880,94.18,95.375,94.09
395,2020-07-07,93.1725,112424440,93.8525,94.655,93.0575
396,2020-07-06,93.4625,118655640,92.5,93.945,92.4675
397,2020-07-02,91.0275,114041480,91.9625,92.6175,90.91
398,2020-07-01,91.0275,110737240,91.28,91.84,90.9775
399,2020-06-30,91.2,140223280,90.02,91.495,90.0
400,2020-06-29,90.445,130646080,88.3125,90.5434,87.82
401,2020-06-26,88.4075,205256840,91.1025,91.33,88.255
402,2020-06-25,91.21,137522520,90.175,91.25,89.3925
403,2020-06-24,90.015,192623400,91.25,92.1975,89.63
404,2020-06-23,91.6325,212155480,91.0,93.095,90.5675
405,2020-06-22,89.7175,135445280,87.835,89.865,87.7875
406,2020-06-19,87.43,264475800,88.6587,89.14,86.2875
407,2020-06-18,87.9325,96820400,87.8525,88.3625,87.305
408,2020-06-17,87.8975,114406520,88.7875,88.85,87.7725
409,2020-06-16,88.02,165428720,87.865,88.3,86.18
410,2020-06-15,85.7475,138808920,83.3125,86.42,83.145
411,2020-06-12,84.7,200146040,86.18,86.95,83.5558
412,2020-06-11,83.975,201662440,87.3275,87.765,83.87
413,2020-06-10,88.21,166651760,86.975,88.6925,86.5225
414,2020-06-09,85.9975,147712360,83.035,86.4025,83.0025
415,2020-06-08,83.365,95654520,82.5625,83.4,81.83
416,2020-06-05,82.875,137250200,80.8375,82.9375,80.8075
417,2020-06-04,80.58,87560360,81.0975,81.405,80.195
418,2020-06-03,81.28,104491200,81.165,81.55,80.575
419,2020-06-02,80.835,87642800,80.1863,80.86,79.7325
420,2020-06-01,80.4625,81018600,79.4375,80.5875,79.3025
421,2020-05-29,79.485,153598120,79.8125,80.2875,79.1175
422,2020-05-28,79.5625,133796400,79.1925,80.86,78.9075
423,2020-05-27,79.5275,112945080,79.035,79.6775,78.2725
424,2020-05-26,79.1825,125521800,80.875,81.06,79.125
425,2020-05-22,79.7225,81803000,78.9425,79.8075,78.8375
426,2020-05-21,79.2125,102688840,79.665,80.2225,78.9675
427,2020-05-20,79.8075,111504880,79.17,79.88,79.05
428,2020-05-19,78.285,101729560,78.7575,79.63,78.2525
429,2020-05-18,78.74,135372520,78.2925,79.125,77.581
430,2020-05-15,76.9275,166348360,75.0875,76.975,75.0525
431,2020-05-14,77.385,158929080,76.1275,77.4475,75.3825
432,2020-05-13,76.9125,200622560,78.0375,78.9875,75.8025
433,2020-05-12,77.8525,162301040,79.4575,79.922,77.7275
434,2020-05-11,78.7525,145946240,77.025,79.2625,76.81
435,2020-05-08,77.5325,134047960,76.41,77.5875,76.0725
436,2020-05-07,75.935,115215040,75.805,76.2925,75.4925
437,2020-05-06,75.1575,142333760,75.115,75.81,74.7175
438,2020-05-05,74.39,147751200,73.765,75.25,73.615
439,2020-05-04,73.29,133567960,72.2925,73.4225,71.5793
440,2020-05-01,72.2675,240616720,71.5625,74.75,71.4625
441,2020-04-30,73.45,183063880,72.49,73.6325,72.0875
442,2020-04-29,71.9325,137280800,71.1825,72.4175,70.9725
443,2020-04-28,69.645,112004760,71.27,71.4575,69.55
444,2020-04-27,70.7925,117087560,70.45,71.135,69.9875
445,2020-04-24,70.7425,126508720,69.3,70.7525,69.25
446,2020-04-23,68.7575,124814320,68.9675,70.4375,68.7175
447,2020-04-22,69.025,117057360,68.4025,69.475,68.05
448,2020-04-21,67.0925,180991560,69.07,69.3125,66.3575
449,2020-04-20,69.2325,130015000,69.4875,70.42,69.2125
450,2020-04-17,70.7,215249920,71.1725,71.7362,69.215
451,2020-04-16,71.6725,157125160,71.845,72.0494,70.5875
452,2020-04-15,71.1075,131154560,70.6,71.5825,70.1575
453,2020-04-14,71.7625,194994680,70.0,72.0625,69.5125
454,2020-04-13,68.3125,131022920,67.0775,68.425,66.4575
455,2020-04-09,66.9975,162116480,67.175,67.5175,66.175
456,2020-04-08,66.5175,168895280,65.685,66.8425,65.3075
457,2020-04-07,64.8575,202887320,67.7,67.925,64.75
458,2020-04-06,65.6175,201820280,62.725,65.7775,62.345
459,2020-04-03,60.3525,129880080,60.7,61.425,59.7435
460,2020-04-02,61.2325,165933960,60.085,61.2875,59.225
461,2020-04-01,60.2275,176218560,61.625,62.18,59.7825
462,2020-03-31,63.5725,197002000,63.9,65.6225,63.0
463,2020-03-30,63.7025,167976440,62.685,63.88,62.35
464,2020-03-27,61.935,204216600,63.1875,63.9675,61.7625
465,2020-03-26,64.61,252560680,61.63,64.67,61.59
466,2020-03-25,61.38,303602040,62.6875,64.5625,61.075
467,2020-03-24,61.72,287531080,59.09,61.9225,58.575
468,2020-03-23,56.0925,336752840,57.02,57.1249,53.1525
